country_code,country_name,year,remittance_cost_pct,source_engine
4,Afghanistan,2017,9.88,un_sdg_api
4,Afghanistan,2018,9.23,un_sdg_api
4,Afghanistan,2019,9.72,un_sdg_api
4,Afghanistan,2020,9.89,un_sdg_api
4,Afghanistan,2021,8.39,un_sdg_api
4,Afghanistan,2022,9.32,un_sdg_api
4,Afghanistan,2023,8.95,un_sdg_api
8,Albania,2011,7.88,un_sdg_api
8,Albania,2015,7.9,un_sdg_api
8,Albania,2017,8.38,un_sdg_api
8,Albania,2018,8.4,un_sdg_api
8,Albania,2019,9.16,un_sdg_api
8,Albania,2020,8.59,un_sdg_api
8,Albania,2021,8.01,un_sdg_api
8,Albania,2022,9.15,un_sdg_api
8,Albania,2023,8.73,un_sdg_api
12,Algeria,2011,14.08,un_sdg_api
12,Algeria,2015,11.89,un_sdg_api
12,Algeria,2017,8.26,un_sdg_api
12,Algeria,2018,10.86,un_sdg_api
12,Algeria,2019,10.75,un_sdg_api
12,Algeria,2020,10.52,un_sdg_api
12,Algeria,2021,9.23,un_sdg_api
12,Algeria,2022,10.45,un_sdg_api
12,Algeria,2023,11.63,un_sdg_api
24,Angola,2011,17.88,un_sdg_api
24,Angola,2015,16.59,un_sdg_api
24,Angola,2017,18.7,un_sdg_api
24,Angola,2018,19.37,un_sdg_api
24,Angola,2019,19.52,un_sdg_api
24,Angola,2020,22.04,un_sdg_api
24,Angola,2021,18.74,un_sdg_api
24,Angola,2022,20.92,un_sdg_api
24,Angola,2023,17.73,un_sdg_api
51,Armenia,2011,1.83,un_sdg_api
51,Armenia,2015,1.48,un_sdg_api
51,Armenia,2017,3.97,un_sdg_api
51,Armenia,2018,5.66,un_sdg_api
51,Armenia,2019,5.02,un_sdg_api
51,Armenia,2020,5.1,un_sdg_api
51,Armenia,2021,5.64,un_sdg_api
51,Armenia,2022,5.37,un_sdg_api
51,Armenia,2023,5.78,un_sdg_api
31,Azerbaijan,2011,2.34,un_sdg_api
31,Azerbaijan,2015,1.13,un_sdg_api
31,Azerbaijan,2017,1.04,un_sdg_api
31,Azerbaijan,2018,1.32,un_sdg_api
31,Azerbaijan,2019,1.0,un_sdg_api
31,Azerbaijan,2020,1.0,un_sdg_api
31,Azerbaijan,2021,1.61,un_sdg_api
31,Azerbaijan,2022,,un_sdg_api
31,Azerbaijan,2023,,un_sdg_api
50,Bangladesh,2011,3.97,un_sdg_api
50,Bangladesh,2015,4.16,un_sdg_api
50,Bangladesh,2017,4.42,un_sdg_api
50,Bangladesh,2018,4.93,un_sdg_api
50,Bangladesh,2019,4.12,un_sdg_api
50,Bangladesh,2020,4.57,un_sdg_api
50,Bangladesh,2021,3.36,un_sdg_api
50,Bangladesh,2022,7.95,un_sdg_api
50,Bangladesh,2023,9.08,un_sdg_api
112,Belarus,2011,2.4,un_sdg_api
112,Belarus,2015,1.36,un_sdg_api
112,Belarus,2017,1.34,un_sdg_api
112,Belarus,2018,1.55,un_sdg_api
112,Belarus,2019,1.75,un_sdg_api
112,Belarus,2020,1.6,un_sdg_api
112,Belarus,2021,1.49,un_sdg_api
112,Belarus,2022,,un_sdg_api
112,Belarus,2023,,un_sdg_api
204,Benin,2017,18.3,un_sdg_api
204,Benin,2018,12.28,un_sdg_api
204,Benin,2019,9.56,un_sdg_api
204,Benin,2020,17.35,un_sdg_api
204,Benin,2021,,un_sdg_api
204,Benin,2022,,un_sdg_api
204,Benin,2023,,un_sdg_api
68,Bolivia (Plurinational State of),2011,11.52,un_sdg_api
68,Bolivia (Plurinational State of),2015,7.11,un_sdg_api
68,Bolivia (Plurinational State of),2017,4.1,un_sdg_api
68,Bolivia (Plurinational State of),2018,5.92,un_sdg_api
68,Bolivia (Plurinational State of),2019,5.41,un_sdg_api
68,Bolivia (Plurinational State of),2020,5.98,un_sdg_api
68,Bolivia (Plurinational State of),2021,5.72,un_sdg_api
68,Bolivia (Plurinational State of),2022,7.35,un_sdg_api
68,Bolivia (Plurinational State of),2023,6.29,un_sdg_api
70,Bosnia and Herzegovina,2011,13.93,un_sdg_api
70,Bosnia and Herzegovina,2015,7.28,un_sdg_api
70,Bosnia and Herzegovina,2017,6.5,un_sdg_api
70,Bosnia and Herzegovina,2018,6.9,un_sdg_api
70,Bosnia and Herzegovina,2019,7.61,un_sdg_api
70,Bosnia and Herzegovina,2020,7.27,un_sdg_api
70,Bosnia and Herzegovina,2021,6.94,un_sdg_api
70,Bosnia and Herzegovina,2022,7.84,un_sdg_api
70,Bosnia and Herzegovina,2023,7.37,un_sdg_api
72,Botswana,2011,19.57,un_sdg_api
72,Botswana,2015,19.71,un_sdg_api
72,Botswana,2017,19.15,un_sdg_api
72,Botswana,2018,18.17,un_sdg_api
72,Botswana,2019,18.43,un_sdg_api
72,Botswana,2020,20.73,un_sdg_api
72,Botswana,2021,17.25,un_sdg_api
72,Botswana,2022,19.44,un_sdg_api
72,Botswana,2023,14.49,un_sdg_api
76,Brazil,2011,13.42,un_sdg_api
76,Brazil,2015,7.01,un_sdg_api
76,Brazil,2017,6.33,un_sdg_api
76,Brazil,2018,7.06,un_sdg_api
76,Brazil,2019,7.63,un_sdg_api
76,Brazil,2020,6.9,un_sdg_api
76,Brazil,2021,6.43,un_sdg_api
76,Brazil,2022,6.17,un_sdg_api
76,Brazil,2023,5.97,un_sdg_api
100,Bulgaria,2011,9.1,un_sdg_api
100,Bulgaria,2015,9.16,un_sdg_api
100,Bulgaria,2017,8.18,un_sdg_api
100,Bulgaria,2018,8.59,un_sdg_api
100,Bulgaria,2019,8.24,un_sdg_api
100,Bulgaria,2020,7.59,un_sdg_api
100,Bulgaria,2021,9.24,un_sdg_api
100,Bulgaria,2022,11.62,un_sdg_api
100,Bulgaria,2023,12.19,un_sdg_api
132,Cabo Verde,2011,9.5,un_sdg_api
132,Cabo Verde,2015,10.69,un_sdg_api
132,Cabo Verde,2017,10.15,un_sdg_api
132,Cabo Verde,2018,9.43,un_sdg_api
132,Cabo Verde,2019,8.43,un_sdg_api
132,Cabo Verde,2020,8.23,un_sdg_api
132,Cabo Verde,2021,8.08,un_sdg_api
132,Cabo Verde,2022,8.04,un_sdg_api
132,Cabo Verde,2023,8.57,un_sdg_api
116,Cambodia,2017,15.06,un_sdg_api
116,Cambodia,2018,14.47,un_sdg_api
116,Cambodia,2019,12.4,un_sdg_api
116,Cambodia,2020,11.75,un_sdg_api
116,Cambodia,2021,11.28,un_sdg_api
116,Cambodia,2022,10.13,un_sdg_api
116,Cambodia,2023,10.11,un_sdg_api
120,Cameroon,2017,4.4,un_sdg_api
120,Cameroon,2018,4.18,un_sdg_api
120,Cameroon,2019,4.45,un_sdg_api
120,Cameroon,2020,3.63,un_sdg_api
120,Cameroon,2021,4.71,un_sdg_api
120,Cameroon,2022,6.22,un_sdg_api
120,Cameroon,2023,5.34,un_sdg_api
62,Central and Southern Asia,2011,5.69,un_sdg_api
62,Central and Southern Asia,2015,5.4,un_sdg_api
62,Central and Southern Asia,2017,5.32,un_sdg_api
62,Central and Southern Asia,2018,5.35,un_sdg_api
62,Central and Southern Asia,2019,4.99,un_sdg_api
62,Central and Southern Asia,2020,4.98,un_sdg_api
62,Central and Southern Asia,2021,4.44,un_sdg_api
62,Central and Southern Asia,2022,4.99,un_sdg_api
62,Central and Southern Asia,2023,5.47,un_sdg_api
156,China,2011,11.92,un_sdg_api
156,China,2015,10.18,un_sdg_api
156,China,2017,10.0,un_sdg_api
156,China,2018,7.99,un_sdg_api
156,China,2019,9.04,un_sdg_api
156,China,2020,8.43,un_sdg_api
156,China,2021,6.78,un_sdg_api
156,China,2022,6.37,un_sdg_api
156,China,2023,6.46,un_sdg_api
170,Colombia,2011,6.69,un_sdg_api
170,Colombia,2015,6.18,un_sdg_api
170,Colombia,2017,5.36,un_sdg_api
170,Colombia,2018,5.0,un_sdg_api
170,Colombia,2019,5.56,un_sdg_api
170,Colombia,2020,4.94,un_sdg_api
170,Colombia,2021,6.36,un_sdg_api
170,Colombia,2022,6.05,un_sdg_api
170,Colombia,2023,6.13,un_sdg_api
174,Comoros,2017,4.79,un_sdg_api
174,Comoros,2018,4.79,un_sdg_api
174,Comoros,2019,4.73,un_sdg_api
174,Comoros,2020,4.57,un_sdg_api
174,Comoros,2021,4.74,un_sdg_api
174,Comoros,2022,7.17,un_sdg_api
174,Comoros,2023,5.76,un_sdg_api
188,Costa Rica,2017,5.71,un_sdg_api
188,Costa Rica,2018,6.61,un_sdg_api
188,Costa Rica,2019,6.74,un_sdg_api
188,Costa Rica,2020,6.6,un_sdg_api
188,Costa Rica,2021,6.69,un_sdg_api
188,Costa Rica,2022,6.22,un_sdg_api
188,Costa Rica,2023,6.0,un_sdg_api
384,Côte d'Ivoire,2011,12.03,un_sdg_api
384,Côte d'Ivoire,2015,6.05,un_sdg_api
384,Côte d'Ivoire,2017,5.52,un_sdg_api
384,Côte d'Ivoire,2018,5.52,un_sdg_api
384,Côte d'Ivoire,2019,5.55,un_sdg_api
384,Côte d'Ivoire,2020,4.62,un_sdg_api
384,Côte d'Ivoire,2021,4.04,un_sdg_api
384,Côte d'Ivoire,2022,4.45,un_sdg_api
384,Côte d'Ivoire,2023,3.93,un_sdg_api
191,Croatia,2011,20.63,un_sdg_api
191,Croatia,2015,4.11,un_sdg_api
191,Croatia,2017,6.26,un_sdg_api
191,Croatia,2018,6.21,un_sdg_api
191,Croatia,2019,6.91,un_sdg_api
191,Croatia,2020,6.87,un_sdg_api
191,Croatia,2021,8.0,un_sdg_api
191,Croatia,2022,9.1,un_sdg_api
191,Croatia,2023,2.9,un_sdg_api
192,Cuba,2017,11.0,un_sdg_api
192,Cuba,2018,10.82,un_sdg_api
192,Cuba,2019,9.62,un_sdg_api
192,Cuba,2020,10.53,un_sdg_api
192,Cuba,2021,9.47,un_sdg_api
192,Cuba,2022,17.04,un_sdg_api
192,Cuba,2023,16.22,un_sdg_api
180,Democratic Republic of the Congo,2011,8.85,un_sdg_api
180,Democratic Republic of the Congo,2015,6.05,un_sdg_api
180,Democratic Republic of the Congo,2017,8.67,un_sdg_api
180,Democratic Republic of the Congo,2018,8.19,un_sdg_api
180,Democratic Republic of the Congo,2019,8.74,un_sdg_api
180,Democratic Republic of the Congo,2020,8.87,un_sdg_api
180,Democratic Republic of the Congo,2021,7.41,un_sdg_api
180,Democratic Republic of the Congo,2022,6.94,un_sdg_api
180,Democratic Republic of the Congo,2023,6.87,un_sdg_api
214,Dominican Republic,2011,5.78,un_sdg_api
214,Dominican Republic,2015,6.41,un_sdg_api
214,Dominican Republic,2017,6.83,un_sdg_api
214,Dominican Republic,2018,6.68,un_sdg_api
214,Dominican Republic,2019,5.82,un_sdg_api
214,Dominican Republic,2020,5.92,un_sdg_api
214,Dominican Republic,2021,5.34,un_sdg_api
214,Dominican Republic,2022,5.27,un_sdg_api
214,Dominican Republic,2023,5.61,un_sdg_api
753,Eastern and South-Eastern Asia,2011,8.36,un_sdg_api
753,Eastern and South-Eastern Asia,2015,7.38,un_sdg_api
753,Eastern and South-Eastern Asia,2017,7.62,un_sdg_api
753,Eastern and South-Eastern Asia,2018,6.89,un_sdg_api
753,Eastern and South-Eastern Asia,2019,6.89,un_sdg_api
753,Eastern and South-Eastern Asia,2020,6.73,un_sdg_api
753,Eastern and South-Eastern Asia,2021,5.87,un_sdg_api
753,Eastern and South-Eastern Asia,2022,5.38,un_sdg_api
753,Eastern and South-Eastern Asia,2023,5.43,un_sdg_api
218,Ecuador,2011,4.6,un_sdg_api
218,Ecuador,2015,4.34,un_sdg_api
218,Ecuador,2017,4.02,un_sdg_api
218,Ecuador,2018,4.1,un_sdg_api
218,Ecuador,2019,4.47,un_sdg_api
218,Ecuador,2020,4.8,un_sdg_api
218,Ecuador,2021,4.47,un_sdg_api
218,Ecuador,2022,4.44,un_sdg_api
218,Ecuador,2023,5.83,un_sdg_api
818,Egypt,2011,4.15,un_sdg_api
818,Egypt,2015,5.67,un_sdg_api
818,Egypt,2017,5.3,un_sdg_api
818,Egypt,2018,5.04,un_sdg_api
818,Egypt,2019,4.95,un_sdg_api
818,Egypt,2020,4.93,un_sdg_api
818,Egypt,2021,4.5,un_sdg_api
818,Egypt,2022,4.13,un_sdg_api
818,Egypt,2023,4.18,un_sdg_api
222,El Salvador,2011,4.69,un_sdg_api
222,El Salvador,2015,4.22,un_sdg_api
222,El Salvador,2017,3.91,un_sdg_api
222,El Salvador,2018,4.03,un_sdg_api
222,El Salvador,2019,3.55,un_sdg_api
222,El Salvador,2020,2.85,un_sdg_api
222,El Salvador,2021,3.94,un_sdg_api
222,El Salvador,2022,3.71,un_sdg_api
222,El Salvador,2023,4.29,un_sdg_api
232,Eritrea,2011,12.11,un_sdg_api
232,Eritrea,2015,9.09,un_sdg_api
232,Eritrea,2017,11.47,un_sdg_api
232,Eritrea,2018,8.03,un_sdg_api
232,Eritrea,2019,7.67,un_sdg_api
232,Eritrea,2020,7.47,un_sdg_api
232,Eritrea,2021,7.07,un_sdg_api
232,Eritrea,2022,8.02,un_sdg_api
232,Eritrea,2023,8.53,un_sdg_api
233,Estonia,2011,4.62,un_sdg_api
233,Estonia,2015,5.83,un_sdg_api
233,Estonia,2017,6.38,un_sdg_api
233,Estonia,2018,4.32,un_sdg_api
233,Estonia,2019,1.67,un_sdg_api
233,Estonia,2020,4.17,un_sdg_api
233,Estonia,2021,6.2,un_sdg_api
233,Estonia,2022,,un_sdg_api
233,Estonia,2023,,un_sdg_api
748,Eswatini,2011,14.29,un_sdg_api
748,Eswatini,2015,13.83,un_sdg_api
748,Eswatini,2017,15.87,un_sdg_api
748,Eswatini,2018,17.85,un_sdg_api
748,Eswatini,2019,18.21,un_sdg_api
748,Eswatini,2020,8.35,un_sdg_api
748,Eswatini,2021,18.28,un_sdg_api
748,Eswatini,2022,21.96,un_sdg_api
748,Eswatini,2023,16.44,un_sdg_api
231,Ethiopia,2011,9.29,un_sdg_api
231,Ethiopia,2015,7.9,un_sdg_api
231,Ethiopia,2017,6.48,un_sdg_api
231,Ethiopia,2018,6.27,un_sdg_api
231,Ethiopia,2019,7.07,un_sdg_api
231,Ethiopia,2020,6.89,un_sdg_api
231,Ethiopia,2021,7.07,un_sdg_api
231,Ethiopia,2022,5.36,un_sdg_api
231,Ethiopia,2023,5.51,un_sdg_api
513,Europe and Northern America,2011,7.77,un_sdg_api
513,Europe and Northern America,2015,6.57,un_sdg_api
513,Europe and Northern America,2017,6.8,un_sdg_api
513,Europe and Northern America,2018,6.69,un_sdg_api
513,Europe and Northern America,2019,6.74,un_sdg_api
513,Europe and Northern America,2020,6.38,un_sdg_api
513,Europe and Northern America,2021,6.35,un_sdg_api
513,Europe and Northern America,2022,7.0,un_sdg_api
513,Europe and Northern America,2023,6.46,un_sdg_api
242,Fiji,2011,13.37,un_sdg_api
242,Fiji,2015,9.65,un_sdg_api
242,Fiji,2017,8.91,un_sdg_api
242,Fiji,2018,8.55,un_sdg_api
242,Fiji,2019,8.67,un_sdg_api
242,Fiji,2020,7.62,un_sdg_api
242,Fiji,2021,7.39,un_sdg_api
242,Fiji,2022,7.64,un_sdg_api
242,Fiji,2023,6.71,un_sdg_api
270,Gambia,2011,9.41,un_sdg_api
270,Gambia,2015,10.03,un_sdg_api
270,Gambia,2017,9.72,un_sdg_api
270,Gambia,2018,12.67,un_sdg_api
